run,n,block,side,neuron,energy,e_block,r1,rank,stab_u,ord_u,stab_v,ord_v
aff11_wu_m128_seed2,11,11,y,97,92.56900321590754,0.9999984933019054,0.9999960748132676,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,98,218.76000507787532,0.9999962097356087,0.9999947346689031,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,99,213.7831516553916,0.9999973011108626,0.9999909412210151,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,100,236.62138285138144,0.9999990420401512,0.9999947490125306,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,101,220.67454680935413,0.9999996317283671,0.9999948454957668,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,102,245.597735051677,0.9999946546759061,0.9999960336227527,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,103,229.23243751515815,0.9999984961180323,0.9999909999216798,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,104,247.46939851746527,0.9999979058528013,0.9999947342609121,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,105,234.48013526321154,0.9999996114778555,0.9999960499194926,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,106,224.03106509992358,0.99999855580209,0.999996005547474,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,107,200.40257957449322,0.9999979965041363,0.9999908983338918,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,108,239.7369927419148,0.9999980831927393,0.9999955048636763,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,109,246.48188395641728,0.9999990004974523,0.9999909138894794,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,110,189.16301524828114,0.9999991083920965,0.999996009701955,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,111,291.553932221079,0.9999991788426165,0.9999955102837944,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,112,150.44896648909747,0.9999961886975713,0.9999948115866244,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,113,146.5668666909635,0.9999989671442682,0.9999947567919255,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,114,117.01479797925582,0.9999961784527902,0.9999960872676924,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,115,216.6021308004847,0.9999980136472851,0.9999948360758406,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,116,234.82673123950798,0.9999958502483982,0.9999939478762186,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,117,166.66238976814844,0.9999992859827083,0.9999947459770905,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,119,96.32391789276609,0.9999912010394117,0.9999909525322357,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,120,250.88431900803954,0.999998263048274,0.9999960412524114,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,121,147.87991461182946,0.9999988120846149,0.9999947532119784,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,122,205.72212650822317,0.9999987350206572,0.999994777342517,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,123,248.87941275539703,0.9999967719100592,0.9999940093766831,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,124,176.4940370476736,0.9999990389794942,0.9999960671845146,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,125,14.319641731240443,0.9914055521532562,0.9999943004277377,1,I,5,1,1
aff11_wu_m128_seed2,11,11,y,126,205.35880855692304,0.9999973886790584,0.9999941012734186,1,M,10,1,1
aff11_wu_m128_seed2,11,11,y,127,178.6421529190965,0.9999994191726327,0.9999960360268563,1,M,10,1,1
