run,side,neuron,family,energy,alpha,purity,top,c_std,c_sgn,c_stdp,c_5a,c_5b
S5_MLP_seed1,x,67,S4,799.1936920663711,0.9999912954167036,1.0,std,1.0,,,,
S5_MLP_seed1,x,68,F20,848.6251055964746,0.9999999338386756,1.0000000000000002,5a,,,,1.0000000000000002,
S5_MLP_seed1,x,69,F20,717.6633464521209,0.9999997171999968,0.9999999999999999,5a,,,,0.9999999999999999,
S5_MLP_seed1,x,70,A4,392.70159378194234,0.999561088927186,0.978126127408442,std',1.4999118548854928e-05,0.021858873473008904,0.978126127408442,,
S5_MLP_seed1,x,71,F20,482.99099600497897,0.9999998262416498,1.0000000000000002,5a,,,,1.0000000000000002,
S5_MLP_seed1,x,72,S4,1339.9181616863186,0.9999917068939678,0.9999999999999997,std,0.9999999999999997,,,,
S5_MLP_seed1,x,73,S3xS2~sgn,1287.9461713828518,0.9998021136743328,0.9999455094130139,sgn,,0.9999455094130139,4.9946492096777395e-05,4.5440948886878055e-06,
S5_MLP_seed1,x,74,S4,1247.9808072322114,0.999999924181789,1.0,std,1.0,,,,
S5_MLP_seed1,x,75,F20,829.3579609867334,0.9999998588307736,1.0,5a,,,,1.0,
S5_MLP_seed1,x,76,S4,799.4142098175658,0.9999912995796434,1.0,std,1.0,,,,
S5_MLP_seed1,x,77,F20,790.2881508175808,0.9999998330835456,0.9999999999999999,5a,,,,0.9999999999999999,
S5_MLP_seed1,x,78,A4,487.4537266321889,0.9944273093762332,0.9864732049962764,std',0.0016621317307038259,0.011864663273019813,0.9864732049962764,,
S5_MLP_seed1,x,79,A4,476.82154338291593,0.9996544680397288,0.9819188415685175,std',0.002785700514744791,0.015295457916737726,0.9819188415685175,,
S5_MLP_seed1,x,80,A4,349.00508318291475,0.9985852711885572,0.9782885389763574,std',0.002351009591387539,0.019360451432254754,0.9782885389763574,,
S5_MLP_seed1,x,81,S3xS2~sgn,457.0228539611479,0.9007022905344395,0.9987470584006782,std',,0.001230536800150188,0.9987470584006782,2.2404799171429633e-05,
S5_MLP_seed1,x,82,A4,463.8936545855492,0.999821805775982,0.9989488592811289,std',0.00012615457571922502,0.0009249861431516685,0.9989488592811289,,
S5_MLP_seed1,x,84,S4,1404.3449969906635,0.9999983959409002,0.9999999999999997,std,0.9999999999999997,,,,
S5_MLP_seed1,x,85,A4,666.500208962181,0.9997395649727252,0.9796902539674163,std',0.00024099681597167998,0.020068749216611906,0.9796902539674163,,
S5_MLP_seed1,x,86,S4,1153.5690367808447,0.9999996883517772,1.0000000000000002,std,1.0000000000000002,,,,
S5_MLP_seed1,x,87,A4,631.9472120920633,0.9993317423115032,0.9890606884992488,std',9.80043826390477e-05,0.010841307118111917,0.9890606884992488,,
S5_MLP_seed1,x,88,F20,860.0446459175711,0.9999998494667016,1.0,5a,,,,1.0,
S5_MLP_seed1,x,89,S4,1152.8767011717564,0.9999953295471968,1.0,std,1.0,,,,
S5_MLP_seed1,x,90,A4,698.2895284112637,0.9996899422224444,0.9810765675373081,std',0.0020537316016146405,0.016869700861077398,0.9810765675373081,,
S5_MLP_seed1,x,91,A4,388.75062633667767,0.9998179611851172,0.9780530125578596,std',0.005809409332459728,0.016137578109680684,0.9780530125578596,,
S5_MLP_seed1,x,92,S4,1272.4135199936875,0.999995048239674,1.0000000000000004,std,1.0000000000000004,,,,
S5_MLP_seed1,x,93,A4,593.9302572900767,0.999784194391403,0.9799712446445464,std',2.8693604307682536e-05,0.020000061751145822,0.9799712446445464,,
S5_MLP_seed1,x,94,A4,557.2083256880594,0.9996457419475888,0.9734479293704744,std',1.3833219557785143e-05,0.026538237409967632,0.9734479293704744,,
S5_MLP_seed1,x,95,F20,724.6599717733206,0.999999812638622,0.9999999999999997,5a,,,,0.9999999999999997,
S5_MLP_seed1,x,96,F20,848.2117684105995,0.999999883169222,0.9999999999999998,5a,,,,0.9999999999999998,
S5_MLP_seed1,x,97,F20,795.2959463890489,0.9999998965685064,1.0,5a,,,,1.0,
S5_MLP_seed1,x,98,S4,1109.8382562194836,0.9999998520595784,1.0,std,1.0,,,,
